fname,gender
['0000'],0
['0001'],1
['0002'],1
['0003'],0
['0004'],1
['0005'],0
['0006'],1
['0007'],1
['0008'],1
['0009'],0
['0010'],1
['0011'],0
['0012'],1
['0013'],1
['0014'],1
['0015'],0
['0016'],1
['0017'],0
['0018'],0
['0019'],1
['0020'],0
['0021'],1
['0022'],0
['0023'],1
['0024'],1
['0025'],0
['0026'],0
['0027'],1
['0028'],1
['0029'],0
['0030'],1
['0031'],0
['0032'],0
['0033'],1
['0034'],0
['0035'],0
['0036'],0
['0037'],0
['0038'],0
['0039'],1
['0040'],1
['0041'],1
['0042'],1
['0043'],0
['0044'],0
['0045'],0
['0046'],0
['0047'],0
['0048'],0
['0049'],0
['0050'],1
['0051'],1
['0052'],0
['0053'],1
['0054'],0
['0055'],1
['0056'],0
['0057'],1
['0058'],0
['0059'],0
['0060'],0
['0061'],0
['0062'],1
['0063'],1
['0064'],1
['0065'],1
['0066'],0
['0067'],1
['0068'],1
['0069'],0
['0070'],0
['0071'],1
['0072'],0
['0073'],0
['0074'],1
['0075'],1
['0076'],0
['0077'],1
['0078'],1
['0079'],0
['0080'],1
['0081'],0
['0082'],0
['0083'],0
['0084'],1
['0085'],1
['0086'],0
['0087'],0
['0088'],0
['0089'],0
['0090'],0
['0091'],1
['0092'],0
['0093'],0
['0094'],1
['0095'],0
['0096'],1
['0097'],1
['0098'],0
['0099'],1
['0100'],0
['0101'],0
['0102'],1
['0103'],0
['0104'],0
['0105'],1
['0106'],0
['0107'],1
['0108'],0
['0109'],0
['0110'],0
['0111'],1
['0112'],0
['0113'],0
['0114'],0
['0115'],0
['0116'],0
['0117'],0
['0118'],0
['0119'],0
['0120'],0
['0121'],0
['0122'],1
['0123'],1
['0124'],0
['0125'],1
['0126'],0
['0127'],0
['0128'],0
['0129'],0
['0130'],1
['0131'],1
['0132'],1
['0133'],1
['0134'],1
['0135'],1
['0136'],0
['0137'],0
['0138'],0
['0139'],1
['0140'],0
['0141'],0
['0142'],0
['0143'],0
['0144'],0
['0145'],0
['0146'],0
['0147'],1
['0148'],0
['0149'],1
['0150'],1
['0151'],1
['0152'],0
['0153'],0
['0154'],1
['0155'],1
['0156'],0
['0157'],0
['0158'],1
['0159'],1
['0160'],1
['0161'],1
['0162'],1
['0163'],0
['0164'],0
['0165'],0
['0166'],1
['0167'],1
['0168'],0
['0169'],0
['0170'],0
['0171'],1
['0172'],0
['0173'],1
['0174'],0
['0175'],1
['0176'],0
['0177'],1
['0178'],0
['0179'],0
['0180'],0
['0181'],0
['0182'],1
['0183'],1
['0184'],0
['0185'],1
['0186'],1
['0187'],0
['0188'],1
['0189'],0
['0190'],1
['0191'],0
['0192'],1
['0193'],0
['0194'],1
['0195'],0
['0196'],1
['0197'],0
['0198'],1
['0199'],1
['0200'],0
['0201'],0
['0202'],0
['0203'],1
['0204'],1
['0205'],1
['0206'],0
['0207'],1
['0208'],0
['0209'],0
['0210'],1
['0211'],0
['0212'],1
['0213'],1
['0214'],0
['0215'],1
['0216'],0
['0217'],1
['0218'],1
['0219'],0
['0220'],0
['0221'],0
['0222'],1
['0223'],1
['0224'],1
['0225'],0
['0226'],0
['0227'],0
['0228'],0
['0229'],0
['0230'],0
['0231'],0
['0232'],0
['0233'],0
['0234'],0
['0235'],0
['0236'],0
['0237'],1
['0238'],0
['0239'],0
['0240'],0
['0241'],1
['0242'],1
['0243'],0
['0244'],0
['0245'],0
['0246'],0
['0247'],0
['0248'],1
['0249'],0
['0250'],1
['0251'],1
['0252'],1
['0253'],1
['0254'],1
['0255'],0
['0256'],0
['0257'],0
['0258'],0
['0259'],0
['0260'],0
['0261'],1
['0262'],0
['0263'],0
['0264'],0
['0265'],0
['0266'],0
['0267'],1
['0268'],0
['0269'],0
['0270'],0
['0271'],0
['0272'],0
['0273'],0
['0274'],1
['0275'],1
['0276'],0
['0277'],0
['0278'],1
['0279'],0
['0280'],0
['0281'],0
['0282'],1
['0283'],0
['0284'],0
['0285'],1
['0286'],0
['0287'],0
['0288'],0
['0289'],0
['0290'],0
['0291'],0
['0292'],1
['0293'],0
['0294'],1
['0295'],1
['0296'],0
['0297'],0
['0298'],0
['0299'],0
['0300'],1
['0301'],0
['0302'],1
['0303'],1
['0304'],1
['0305'],1
['0306'],0
['0307'],1
['0308'],1
['0309'],1
['0310'],1
['0311'],1
['0312'],1
['0313'],0
['0314'],0
['0315'],0
['0316'],1
['0317'],0
['0318'],1
['0319'],1
['0320'],1
['0321'],1
['0322'],0
['0323'],1
['0324'],0
['0325'],1
['0326'],1
['0327'],0
['0328'],0
['0329'],0
['0330'],0
['0331'],1
['0332'],0
['0333'],1
['0334'],1
['0335'],0
['0336'],0
['0337'],0
['0338'],1
['0339'],0
['0340'],1
['0341'],0
['0342'],0
['0343'],0
['0344'],0
['0345'],1
['0346'],1
['0347'],1
['0348'],1
['0349'],0
['0350'],1
['0351'],1
['0352'],0
['0353'],0
['0354'],1
['0355'],1
['0356'],0
['0357'],1
['0358'],0
['0359'],1
['0360'],1
['0361'],1
['0362'],0
['0363'],0
['0364'],1
['0365'],1
['0366'],0
['0367'],0
['0368'],0
['0369'],1
['0370'],1
['0371'],0
['0372'],0
['0373'],0
['0374'],0
['0375'],0
['0376'],0
['0377'],1
['0378'],0
['0379'],0
['0380'],1
['0381'],0
['0382'],1
['0383'],0
['0384'],1
['0385'],1
['0386'],1
['0387'],0
['0388'],1
['0389'],0
['0390'],1
['0391'],1
['0392'],0
['0393'],0
['0394'],0
['0395'],1
['0396'],1
['0397'],1
['0398'],0
['0399'],1
['0400'],0
['0401'],0
['0402'],0
['0403'],0
['0404'],0
['0405'],0
['0406'],0
['0407'],1
['0408'],0
['0409'],0
['0410'],0
['0411'],0
['0412'],0
['0413'],1
['0414'],0
['0415'],0
['0416'],0
['0417'],0
['0418'],0
['0419'],0
['0420'],0
['0421'],0
['0422'],0
['0423'],0
['0424'],1
['0425'],0
['0426'],0
['0427'],0
['0428'],1
['0429'],0
['0430'],0
['0431'],0
['0432'],0
['0433'],1
['0434'],0
['0435'],0
['0436'],1
['0437'],0
['0438'],1
['0439'],1
['0440'],0
['0441'],1
['0442'],0
['0443'],1
['0444'],0
['0445'],0
['0446'],0
['0447'],1
['0448'],1
['0449'],1
['0450'],1
['0451'],0
['0452'],0
['0453'],0
['0454'],0
['0455'],1
['0456'],0
['0457'],1
['0458'],0
['0459'],0
['0460'],0
['0461'],1
['0462'],1
['0463'],0
['0464'],0
['0465'],0
['0466'],0
['0467'],0
['0468'],1
['0469'],1
['0470'],0
['0471'],0
['0472'],0
['0473'],0
['0474'],0
['0475'],1
['0476'],0
['0477'],1
['0478'],0
['0479'],1
['0480'],0
['0481'],1
